Cell Type	X	Y	Layer
1	165.08	1447.58	5
1	165.17	3526.02	2
1	165.24	3503.24	2
1	165.29	3140.92	3
1	165.32	3563.14	2
1	165.39	3572.98	2
1	165.56	1270.81	5
1	165.76	500.08	6
1	166.28	2959.01	3
3	166.65	3484.38	2
1	166.82	669.51	6
3	167.36	3095.45	3
1	167.53	1610.55	4
1	167.81	3062.24	3
3	168.25	1198.8	5
1	168.33	1747.25	4
3	168.63	350.62	6
1	168.73	3357.83	3
1	168.8	1316.7	5
3	168.95	2320.08	3
1	169.99	2006.69	3
1	170.33	1764.85	4
1	170.61	2835.64	3
1	170.74	3583.26	2
1	171.77	3500.8	2
1	171.97	3142.99	3
1	172.13	1646.79	4
1	172.48	1116.1	5
1	172.48	1926.15	3
1	172.68	2430.9	3
1	172.73	519.54	6
1	172.88	2046.85	3
1	173.55	2325.85	3
3	174.22	2040.35	3
3	175.25	2524.4	3
1	175.33	3574.98	2
1	175.73	181.6	6
3	175.95	2408.42	3
3	175.95	3789.13	1
1	176.47	3463.3	2
1	176.56	2129.82	3
1	176.69	1836.01	4
1	176.69	2398.14	3
1	176.76	1027.47	5
1	177.03	1357.74	5
1	177.63	3233.27	3
1	178.17	915.21	5
1	178.39	2466.7	3
1	178.64	1965.65	3
1	179.33	783.34	5
3	179.66	2616.46	3
1	179.92	862.75	5
1	180.45	3483.2	2
1	180.94	1524.21	4
1	181.05	3381.72	3
3	181.29	461.84	6
1	182.15	257.9	6
1	182.15	2692.69	3
1	182.25	2480.83	3
1	183.12	1715.33	4
3	183.61	2744.07	3
1	184.06	2168.87	3
1	184.26	568.2	6
1	184.6	3205.39	3
1	184.85	1846.29	3
1	185.52	2621.78	3
1	186.06	1949.74	3
3	186.39	3342.37	3
3	186.97	2980.09	3
1	187.96	1005.58	5
1	188.06	2146.83	3
1	188.23	2103.89	3
1	188.46	3594.06	2
1	189.15	3436.6	2
3	189.54	2266.16	3
1	189.97	908.04	5
1	190.31	859.37	5
1	191.58	213.25	6
1	192.05	306.59	6
1	192.89	3649.09	1
1	193.28	2085.17	3
1	193.35	798.06	5
1	193.77	3048.93	3
3	193.9	943.69	5
1	194.32	2525.95	3
1	195.8	191.65	6
3	195.83	323.9	6
3	195.93	3249.54	3
1	195.93	3627.34	2
1	196.42	1883.49	3
1	196.69	2558.86	3
1	198	3305.9	3
1	198.37	1916.31	3
1	198.74	1793.77	4
1	199.32	2599	3
1	199.96	255.53	6
1	200.26	3847.59	1
3	200.62	3002.28	3
1	200.94	492.61	6
1	201.34	1761.82	4
1	202.11	3575.94	2
3	202.21	1115.05	5
3	202.6	1790.37	4
3	202.73	369.61	6
3	202.9	72.66	6
1	203.1	3420.1	2
1	203.37	1709.41	4
1	203.45	2287.83	3
1	203.47	594.68	6
1	203.76	963	5
3	204.04	2907.83	3
1	204.24	3621.35	2
1	204.66	2576.22	3
1	205.2	2147.79	3
3	205.27	714.08	5
3	205.49	1413.69	5
3	205.57	1923.41	3
1	205.65	3640.58	2
3	205.94	1.49	6
1	206.34	269.66	6
3	206.91	32.65	6
1	208.39	3272.92	3
1	208.61	1391.13	5
1	209.6	981.54	5
3	210.19	1656.78	4
1	211.04	911.07	5
1	211.48	1113.34	5
1	211.68	3602.35	2
1	211.72	2248.63	3
3	212.12	2690.25	3
1	212.42	2010.17	3
1	212.83	1419.68	5
1	213.01	2718.95	3
1	213.41	2373.07	3
1	214.77	1795.85	4
1	215.53	1026.21	5
1	216.2	395.77	6
1	217.79	585.88	6
3	217.86	2799.17	3
3	218.75	2369.44	3
1	218.99	3025.33	3
1	219.49	342.17	6
1	219.49	1073.7	5
1	219.54	831.93	5
1	219.56	506.59	6
3	220.29	3499.91	2
1	220.31	2865.3	3
1	220.95	2984.08	3
1	221.08	3121.17	3
1	221.37	2760.42	3
3	221.4	3564.48	2
1	221.67	1773.29	4
1	222.01	1263.05	5
3	222.36	1500.34	4
1	222.5	1537.08	4
1	222.58	1819.19	4
1	222.58	1990.64	3
1	222.93	2794.96	3
1	223.08	654.2	6
1	223.29	1393.35	5
1	223.47	2062.69	3
1	223.84	867.36	5
1	224.21	1570.74	4
3	224.31	2451.76	3
3	224.41	2267.35	3
1	225.13	1244.78	5
3	225.32	1555.28	4
1	225.43	3443.18	2
3	226.29	2073.93	3
3	226.56	3117.54	3
1	226.71	1628.65	4
1	226.98	2443.55	3
1	227.01	1604.9	4
1	227.13	1994.09	3
1	227.32	3567.83	2
3	227.95	3186.67	3
1	228.6	3356.59	3
1	228.67	1493.24	5
1	229.8	2335.17	3
1	229.98	3292.81	3
3	230.27	2625.58	3
1	232.08	1508.55	4
1	232.9	3535.93	2
1	233.12	2952.87	3
1	233.61	3114.88	3
1	233.76	3155.68	3
1	233.79	3471.36	2
1	233.89	2369.15	3
3	234.05	1642.77	4
1	234.2	1628.5	4
1	234.43	2638.08	3
1	234.43	3268.7	3
3	235.27	3354.89	3
1	235.82	3430.31	2
1	236.39	3340.32	3
1	236.78	3027.62	3
1	236.98	3530.39	2
1	237.54	0.9	6
1	237.95	3484.16	2
1	238.9	437.11	6
3	239.84	622.39	6
1	239.89	2560.59	3
1	240.22	705.87	5
1	240.58	1610.45	4
1	241.04	3741.17	1
3	241.33	3805.79	1
1	241.68	2382.8	3
1	241.99	2140.62	3
1	242.29	1685.99	4
1	242.34	1237.23	5
1	243	3179.35	3
1	243.21	3535.12	2
1	243.48	1723.79	4
1	243.63	671.65	6
3	243.68	2407.21	3
1	244.12	3318.18	3
3	244.42	3038.72	3
1	244.98	1813.42	4
3	245.03	1405.33	5
1	245.58	1488.95	5
1	246.44	1413.69	5
1	246.49	1095.59	5
1	246.77	1513.88	4
1	246.96	1705.82	4
1	247.31	3410.19	2
1	247.73	1593.07	4
1	247.8	754.64	5
1	248.55	1470.68	5
3	248.89	1743.17	4
1	249.43	1575.62	4
1	249.54	2462.86	3
1	249.74	3625.4	2
1	250.04	3661.2	1
3	250.67	2903.09	3
1	250.97	1318.6	5
1	251.02	1237.97	5
1	251.19	1387.36	5
1	251.35	3117.15	3
1	251.88	1025.77	5
3	252.05	3311.67	3
1	252.18	1769.56	4
3	252.87	1100.55	5
3	253.92	330.04	6
1	253.94	678.95	6
1	254.13	2687.88	3
1	254.48	1796.26	4
3	255.23	3696.48	1
1	255.51	3589.05	2
3	256.06	1260.46	5
