;	Marker Co	ordinate F	ile	
1	224.71	1827.48	23.85	0.07
1	285.91	1831.55	23.75	0.07
1	292	1810.69	23.75	0.07
1	182.55	1789.63	17.55	0.07
1	179.14	1836.23	17.95	0.07
1	187.6	1827.94	20.3	0.07
1	188.26	1789.63	22.5	0.07
1	127.73	1792.59	23.4	0.07
1	135.08	1772.03	23.4	0.07
1	208.07	1806.49	24.05	0.07
1	28.22	1843.77	23.65	0.07
1	84.08	1834.6	20.8	0.07
1	35.27	1773.95	19.15	0.07
1	45.58	1775.5	18.65	0.07
1	26.52	1833.27	16.35	0.07
1	-71.2	1814.26	16.75	0.07
1	-4.74	1794.66	16.95	0.07
1	-13.19	1837.48	21.15	0.07
1	-77.44	1808.71	22.7	0.07
1	-97.59	1830.24	17	0.07
1	-91.44	1811.52	17.1	0.07
1	-168	1777.35	20.35	0.07
1	-226.4	1803.39	18.8	0.07
1	-279.89	1833.79	18.35	0.07
1	-284.49	1772.32	17.15	0.07
1	-233.37	1831.27	16.7	0.07
1	-375.9	1802.06	16.8	0.07
1	-323.23	1805.9	17.1	0.07
1	-377.83	1808.71	18.95	0.07
1	-331.99	1775.58	20.25	0.07
1	-346.23	1845.47	20.65	0.07
1	-402.49	1841.26	18.25	0.07
1	-402.71	1803.9	18.05	0.07
1	-382.09	1747.08	19	0.07
1	-395.66	1729.4	17.15	0.07
1	-327.07	1703.88	17.1	0.07
1	-340.05	1740.12	19.6	0.07
1	-368.47	1746.41	20.45	0.07
1	-239.03	1740.99	16.1	0.07
1	-177.39	1712.88	17.15	0.07
1	-189.92	1719.17	18.25	0.07
1	-245.71	1738.92	19.45	0.07
1	-177.24	1753.68	22.45	0.07
1	-159.65	1715.15	21.05	0.07
1	-102.16	1764.56	18.8	0.07
1	-25.36	1698.43	23.45	0.07
1	85.27	1760.88	17.65	0.07
1	42.69	1708.88	23.6	0.07
1	141.35	1738.62	23.45	0.07
1	253.6	1729.13	17.35	0.07
1	250.33	1758.93	17.4	0.07
1	267.47	1733.71	23.2	0.07
1	268.18	1672.69	16.6	0.07
1	232.8	1624.54	16.6	0.07
1	256.09	1637.34	16.6	0.07
1	306.02	1664.33	17	0.07
1	243.41	1690.07	18.5	0.07
1	113.24	1684.65	23	0.07
1	144.99	1669.19	19.8	0.07
1	74.29	1675.13	17.65	0.07
1	12.12	1624.1	18.3	0.07
1	82.08	1648.13	22.85	0.07
1	-92.1	1647.89	15.6	0.07
1	-174.22	1625.62	19.35	0.07
1	-217.23	1646.93	23.35	0.07
1	-243.19	1660.24	21.3	0.07
1	-192.01	1623.33	20.1	0.07
1	-252.24	1629.54	18.1	0.07
1	-311.46	1691.11	17.05	0.07
1	-336.91	1643.84	18.85	0.07
1	-313.17	1682.31	22.3	0.07
1	-394.72	1644.66	22.3	0.07
1	-388.91	1607.78	23.05	0.07
1	-390.84	1564.51	21.3	0.07
1	-341.43	1603.95	15.5	0.07
1	-274.03	1560.78	22.1	0.07
1	-177.88	1550.87	19.9	0.07
1	-244.72	1557.01	18.45	0.07
1	-190.05	1582.08	17.25	0.07
1	-95.61	1571.83	15.8	0.07
1	-140.79	1615.69	17.2	0.07
1	-52.64	1585.22	16.1	0.07
1	-37.13	1549.27	17.75	0.07
1	1.59	1614.95	19.85	0.07
1	15.99	1575.08	14.4	0.07
1	171.1	1550.82	23.3	0.07
1	173.62	1582.92	23.3	0.07
1	167.69	1612.44	23.1	0.07
1	136.16	1565.17	21.5	0.07
1	289.13	1607.43	15.6	0.07
1	275.63	1565.12	15.65	0.07
1	299.52	1549.37	17.95	0.07
1	300.7	1570.08	19.95	0.07
1	283.09	1531.38	19.8	0.07
1	284.43	1500.16	18.55	0.07
1	211.46	1509.08	16.6	0.07
1	129.34	1519.58	17.75	0.07
1	153.37	1486.82	23.6	0.07
1	98.06	1507.65	20.9	0.07
1	53.62	1524.3	16.3	0.07
1	3.22	1521.21	15.65	0.07
1	-61.39	1494.81	17.45	0.07
1	3.89	1493.92	19.35	0.07
1	-96.68	1487.26	21.55	0.07
1	-262.08	1513.96	17.15	0.07
1	-268.39	1483.19	20.35	0.07
1	-340.94	1499.69	19.55	0.07
1	-411.14	1505.24	23.15	0.07
1	-392.97	1502.35	18.95	0.07
1	-353.36	1406.32	21.45	0.07
1	-347.94	1430.36	22.9	0.07
1	-336.96	1467.04	22.7	0.07
1	-240.39	1433.64	21.7	0.07
1	-190.69	1463.3	18.3	0.07
1	-146.75	1411.08	15.1	0.07
1	-105.21	1464.41	19.85	0.07
1	-7.35	1449.34	19.75	0.07
1	-55.2	1427.16	18.25	0.07
1	-19.37	1448.6	14.2	0.07
1	93.78	1416.01	14.3	0.07
1	58.91	1415.27	21.1	0.07
1	40.44	1434.28	21.45	0.07
1	127.08	1453.83	21.7	0.07
1	206.16	1436.74	21	0.07
1	178.49	1429.42	19.3	0.07
1	192.36	1410.56	14.9	0.07
1	231.24	1433.46	15.65	0.07
1	235.91	1444.48	22.3	0.07
1	311.41	1331.15	22.3	0.07
1	313.41	1361.99	19.65	0.07
1	216.08	1328.26	18.35	0.07
1	188.44	1363.05	14.75	0.07
1	155.87	1328.36	16.4	0.07
1	196.53	1328.58	21.45	0.07
1	84.38	1330.14	21.6	0.07
1	-14.42	1341.4	14.05	0.07
1	-51.73	1326.38	14.8	0.07
1	-59.82	1356.64	16.7	0.07
1	-109.14	1383.74	19.35	0.07
1	-102.24	1374.71	18.35	0.07
1	-93.93	1340.17	18.15	0.07
1	-116.48	1332.26	17.55	0.07
1	-251.94	1333.93	13.85	0.07
1	-188.07	1392.96	16.75	0.07
1	-189.63	1358.42	18.4	0.07
1	-347.64	1347.4	20.1	0.07
1	-292.37	1346.66	20	0.07
1	-400.24	1366.58	13.6	0.07
1	-400.16	1336.33	16.05	0.07
1	-407.09	1304.27	15.1	0.07
1	-287.92	1306.22	20.25	0.07
1	-360.62	1262.95	18.2	0.07
1	-364.33	1303.56	17.4	0.07
1	-320.04	1320.94	15.6	0.07
1	-313.37	1267.98	15.4	0.07
